,Walsh,Crable,Star Bridge,Orendorf C,Lawrenz Gun Club,C.W. Cooper,Emmons,Baehr South,Myer-Dickson,Ten Mile Creek,Eveland,Kingston Lake,Buckeye Bend,Fouts Village,Larson,Morton Village,Houston-Shryock,Orendorf D
Walsh,0,53,16,93,36,79,56,10,72,137,72,110,68,74,70,75,100,93
Crable,53,0,38,41,17,27,3,42,20,85,20,57,19,22,19,23,48,41
Star Bridge,16,38,0,78,23,64,41,7,57,123,57,95,53,59,55,60,85,78
Orendorf C,93,41,78,0,58,14,37,82,21,45,21,19,26,19,23,17,7,1
Lawrenz Gun Club,36,17,23,58,0,44,20,26,37,101,37,74,35,39,36,40,65,58
C.W. Cooper,79,27,64,14,44,0,24,69,7,59,8,32,13,5,9,4,21,14
Emmons,56,3,41,37,20,24,0,45,17,82,17,54,16,19,16,20,45,37
Baehr South,10,42,7,82,26,69,45,0,62,127,61,99,58,64,60,65,90,82
Myer-Dickson,72,20,57,21,37,7,17,62,0,66,1,39,7,2,2,3,28,21
Ten Mile Creek,137,85,123,45,101,59,82,127,66,0,66,27,71,64,68,62,38,45
Eveland,72,20,57,21,37,8,17,61,1,66,0,39,7,3,2,4,28,21
Kingston Lake,110,57,95,19,74,32,54,99,39,27,39,0,44,37,40,35,12,19
Buckeye Bend,68,19,53,26,35,13,16,58,7,71,7,44,0,9,6,10,33,26
Fouts Village,74,22,59,19,39,5,19,64,2,64,3,37,9,0,4,1,26,19
Larson,70,19,55,23,36,9,16,60,2,68,2,40,6,4,0,5,30,23
Morton Village,75,23,60,17,40,4,20,65,3,62,4,35,10,1,5,0,25,17
Houston-Shryock,100,48,85,7,65,21,45,90,28,38,28,12,33,26,30,25,0,7
Orendorf D,93,41,78,1,58,14,37,82,21,45,21,19,26,19,23,17,7,0
