Site,Orifice,MaxLip,MaxShoulder,MaxWall,RimHeight,RimAngle,MaxCM,MaxTrailing
Orendorf C,31,7,4.7,3,21.3,132,2.1,NA
Orendorf C,28,6.1,8.2,5.7,30.8,127,NA,NA
Orendorf C,31,8.8,5.7,5.4,39.4,102,2.4,NA
Orendorf C,31,7.3,5.6,3.5,30.1,133,1.4,NA
Orendorf C,22,4.7,5.4,4.2,11.8,177,NA,2.9
Orendorf C,29,7.6,5.7,NA,24.5,137,NA,4.6
Orendorf C,32,7.6,7.4,NA,21.2,155,NA,4.2
Orendorf C,30,7.7,6.2,NA,23,135,NA,3
Orendorf C,33,10.7,8.6,1,16.6,150,NA,4
Orendorf C,35,6.3,7.2,NA,19.8,149,NA,4.2
Orendorf C,32,11.8,8.6,NA,17.3,100,NA,4.8
Orendorf C,34,8.5,7.4,4.7,21.2,148,NA,5
Orendorf C,28,8.5,8,NA,21.1,144,NA,3.1
Orendorf C,29,6.8,8.1,NA,18.7,139,NA,3.8
Orendorf C,NA,9,9,NA,13,NA,NA,4.8
Orendorf C,29,6.8,5.3,NA,26.7,152,NA,5.4
Orendorf C,17,6.1,6.6,NA,18.5,120,2.1,NA
Orendorf C,29,6,8.3,NA,34.8,140,NA,NA
Orendorf C,33,6.8,6.2,6.1,22.8,133,NA,3.6
Orendorf C,29,7,9,7.5,24.7,149,NA,4.1
Orendorf C,24,5.7,6.5,5.5,22.8,133,1.9,NA
Orendorf C,NA,4.9,7.3,4.2,28.5,139,2.4,NA
Orendorf C,33,8.7,8,2.7,15.8,136,NA,4
Orendorf C,27,6.5,5.2,NA,12.3,148,NA,4.8
Orendorf C,29,6.5,5,5,22.1,146,2.7,NA
Orendorf C,34,8,6.5,4.2,22.4,130,NA,5.3
Orendorf C,33,7.8,6.3,NA,24.6,133,NA,2.3
Orendorf C,31,7.7,7.6,NA,22.3,124,NA,2.8
Orendorf C,32,12.3,8.1,NA,16.5,131,NA,3.5
Orendorf C,27,6.3,6.9,5,25.3,140,NA,4.2
Orendorf C,32,7.2,7.8,NA,26.1,141,NA,4.4
Orendorf C,29,7,5.1,5.2,25.1,138,NA,3.2
Orendorf C,27,7.6,9.1,NA,32.2,135,NA,4
Orendorf C,37,5.7,7,7.2,33.7,127,2.6,NA
Orendorf C,28,6,6.1,4.4,23.8,143,NA,4.3
Orendorf C,25,5,3.4,NA,24.4,145,NA,2.2
Orendorf C,NA,4.7,7.6,5.5,26.4,141,NA,2.4
Orendorf C,19,4.8,4.5,NA,16.4,145,NA,3.2
Orendorf C,29,7.1,5.1,NA,24.2,140,NA,4
Orendorf C,31,7.6,6.6,NA,30.6,127,NA,5
Orendorf C,24,6.5,5.6,NA,19.4,142,NA,3.7
Orendorf C,35,9.7,9,NA,35.3,127,1.9,NA
Orendorf C,34,6.1,6.5,NA,35.2,142,NA,3.7
Orendorf C,NA,5.1,8.7,NA,20.4,139,NA,5
Orendorf C,37,6.4,6.3,4.9,33.2,136,0.9,NA
Orendorf C,28,6.8,6.1,NA,17.9,135,NA,4.3
Orendorf C,32,7.1,8.4,NA,23.3,143,NA,3.2
Crable,NA,3.6,7.7,NA,43.5,128,2.4,NA
Crable,32,8.6,7.7,5,28.3,139,1.1,NA
Crable,34,6.7,10.1,NA,37,123,3,NA
Crable,27,7.2,8.8,NA,40.4,132,2.6,NA
Crable,29,6.9,8.8,NA,41.9,125,1.7,NA
Crable,30,7.6,9.4,NA,46.9,141,2.8,NA
Crable,28,8.7,9,6.5,47.2,105,1.3,NA
Crable,25,7.7,7.3,NA,44.6,110,2.6,NA
Crable,30,5.7,8.7,NA,56.3,131,1.8,NA
Crable,NA,8.4,9,8.5,40.2,135,2.4,NA
Crable,26,5,8.1,NA,33.8,130,1.4,NA
Crable,27,7,5.7,NA,39.6,139,2.8,NA
Crable,NA,6.5,8.1,NA,43.5,NA,2,NA
Crable,22,6.3,7.4,NA,31.4,119,2.2,NA
Crable,29,8.8,6.7,NA,45.2,120,2.6,NA
Crable,32,4.8,7,5.4,36.9,129,1.7,NA
Crable,34,5.8,7,3.4,40.1,106,1.8,NA
