Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
Orendorf C,32,44.1,6.4,5,135,NA,4.3
Orendorf C,25,44.6,5.9,7.7,153,1,NA
Orendorf C,33,37.6,7.4,4.3,156,NA,3.6
Orendorf C,32,30,6.6,5.6,155,NA,NA
Orendorf C,45,29.4,10.2,8.2,164,NA,NA
Orendorf C,32,19.1,5,4.7,152,NA,NA
Orendorf C,NA,20.7,5.5,5.2,165,NA,NA
Orendorf C,30,34.5,5.5,6.1,158,NA,4.9
Orendorf C,32,51,6.2,5,144,NA,NA
Orendorf C,NA,31.5,5.5,5.6,NA,NA,NA
Orendorf C,NA,31.9,5.4,7.1,NA,NA,2.7
Orendorf C,NA,42.8,5.5,6.7,NA,NA,NA
Orendorf C,37,60.3,5.7,NA,143,1.6,NA
Orendorf C,NA,42.9,6,5,147,NA,2.6
Orendorf C,36,31,4,5.2,156,NA,3.7
Orendorf C,26,22.5,6.5,6,163,NA,NA
Orendorf C,33,25.2,5.9,7.4,146,NA,NA
Orendorf C,NA,14.8,4.8,6.2,NA,1.3,NA
Orendorf C,32,45.2,5,4.9,162,NA,NA
Orendorf C,37,30.5,10.2,6.4,155,NA,NA
Orendorf C,NA,NA,NA,5.7,NA,1.4,NA
Orendorf C,NA,19.6,3.8,3.9,152,NA,NA
Orendorf C,29,40.2,4.7,4.8,148,NA,3.8
Orendorf C,NA,NA,3.6,NA,NA,NA,1.7
Orendorf C,32,29,7.2,7.4,158,NA,NA
Orendorf C,NA,NA,5.7,NA,NA,0.8,NA
Orendorf C,NA,NA,4.4,NA,NA,1.2,NA
Orendorf C,NA,NA,5.7,NA,NA,NA,2.5
Orendorf C,NA,NA,6,NA,NA,1.6,NA
Orendorf C,NA,NA,6.2,NA,NA,NA,2.2
Orendorf C,34,29.7,6.2,4.7,161,NA,NA
Orendorf C,33,45.5,7.3,NA,NA,1.5,NA
Crable,32,39.5,8,9.9,148,NA,5.4
Crable,NA,92,5.4,NA,NA,1,NA
Crable,NA,NA,6.5,NA,NA,0.8,NA
Crable,29,40,6.2,NA,NA,0.6,NA
Crable,34,NA,6.8,NA,NA,1,NA
Crable,NA,NA,8.4,NA,NA,1.6,NA
Crable,24,78.4,6.6,6.3,130,0.8,NA
Crable,NA,62.1,6.6,NA,NA,1.3,NA
Crable,NA,NA,5.5,NA,NA,1.2,NA
Crable,NA,73.2,7.2,NA,149,1.3,NA
Crable,31,NA,5.9,NA,NA,1.3,NA
Crable,NA,55.8,5.3,6.3,140,1,NA
