"","1","Site_One"
"1","48","Orendorf C"
"2","49","Orendorf C"
"3","50","Orendorf C"
"4","51","Orendorf C"
"5","52","Orendorf C"
"6","53","Orendorf C"
"7","54","Orendorf C"
"8","55","Orendorf C"
"9","56","Orendorf C"
"10","57","Orendorf C"
"11","58","Orendorf C"
"12","59","Orendorf C"
"13","60","Orendorf C"
"14","61","Orendorf C"
"15","62","Orendorf C"
"16","63","Orendorf C"
"17","64","Orendorf C"
"18","65","Orendorf C"
"19","66","Orendorf C"
"20","67","Orendorf C"
"21","68","Orendorf C"
"22","69","Orendorf C"
"23","70","Orendorf C"
"24","71","Orendorf C"
"25","72","Orendorf C"
"26","73","Orendorf C"
"27","74","Orendorf C"
"28","75","Orendorf C"
"29","76","Orendorf C"
"30","77","Orendorf C"
"31","78","Orendorf C"
"32","79","Orendorf C"
"33","122","Crable"
"34","123","Crable"
"35","124","Crable"
"36","125","Crable"
"37","126","Crable"
"38","127","Crable"
"39","128","Crable"
"40","129","Crable"
"41","130","Crable"
"42","131","Crable"
"43","132","Crable"
"44","133","Crable"
"45","134","Crable"
"46","135","Crable"
"47","136","Crable"
"48","137","Crable"
"49","138","Crable"
"50","139","Crable"
"51","140","Crable"
"52","141","Crable"
"53","142","Crable"
"54","143","Crable"
"55","144","Crable"
"56","145","Crable"
"57","146","Crable"
"58","147","Crable"
"59","148","Crable"
"60","149","Crable"
"61","150","Crable"
"62","151","Crable"
"63","152","Crable"
"64","153","Crable"
"65","154","Crable"
"66","155","Crable"
"67","156","Crable"
"68","157","Crable"
"69","158","Crable"
"70","159","Crable"
"71","160","Crable"
"72","161","Crable"
"73","162","Crable"
"74","163","Crable"
"75","164","Crable"
"76","165","Crable"
"77","166","Crable"
"78","167","Crable"
"79","168","Crable"
"80","169","Crable"
"81","170","Crable"
"82","171","Crable"
"83","172","Crable"
"84","173","Crable"
"85","174","Crable"
"86","175","Crable"
"87","176","Crable"
"88","177","Crable"
"89","178","Crable"
"90","179","Crable"
"91","180","Crable"
"92","181","Crable"
"93","200","Walsh"
"94","201","Walsh"
"95","202","Walsh"
"96","203","Walsh"
"97","205","Walsh"
"98","206","Walsh"
"99","207","Walsh"
"100","208","Walsh"
"101","209","Walsh"
"102","210","Walsh"
"103","211","Walsh"
"104","212","Walsh"
"105","213","Walsh"
"106","214","Walsh"
"107","215","Walsh"
"108","216","Walsh"
"109","217","Walsh"
"110","218","Walsh"
"111","219","Walsh"
"112","220","Walsh"
"113","241","Larenz Gun Club"
"114","275","Emmons"
"115","276","Emmons"
"116","277","Emmons"
"117","278","Emmons"
"118","279","Emmons"
"119","280","Emmons"
"120","281","Emmons"
"121","282","Emmons"
"122","283","Emmons"
"123","284","Emmons"
"124","285","Emmons"
"125","286","Emmons"
"126","287","Emmons"
"127","288","Emmons"
"128","289","Emmons"
"129","290","Emmons"
"130","291","Emmons"
"131","292","Emmons"
"132","293","Emmons"
"133","294","Emmons"
"134","298","Baehr South"
"135","299","Baehr South"
"136","300","Baehr South"
"137","301","Baehr South"
"138","302","Baehr South"
"139","303","Baehr South"
"140","304","Baehr South"
"141","305","Baehr South"
"142","306","Baehr South"
"143","310","Baehr South"
"144","311","Baehr South"
"145","331","Myer-Dickson"
"146","332","Myer-Dickson"
"147","333","Myer-Dickson"
"148","334","Myer-Dickson"
"149","335","Myer-Dickson"
"150","336","Myer-Dickson"
"151","337","Myer-Dickson"
"152","338","Myer-Dickson"
"153","339","Myer-Dickson"
"154","340","Myer-Dickson"
"155","341","Myer-Dickson"
"156","342","Myer-Dickson"
"157","343","Myer-Dickson"
"158","344","Myer-Dickson"
"159","345","Myer-Dickson"
"160","346","Myer-Dickson"
"161","371","Crable"
"162","412","Star Bridge"
"163","413","Star Bridge"
"164","414","Star Bridge"
"165","415","Star Bridge"
"166","416","Star Bridge"
"167","417","Star Bridge"
"168","418","Star Bridge"
"169","419","Star Bridge"
"170","420","Star Bridge"
"171","421","Star Bridge"
"172","422","Star Bridge"
"173","423","Star Bridge"
"174","424","Star Bridge"
"175","425","Star Bridge"
"176","426","Star Bridge"
"177","427","Star Bridge"
"178","428","Star Bridge"
"179","429","Star Bridge"
"180","430","Star Bridge"
"181","431","Star Bridge"
"182","432","Star Bridge"
"183","433","Star Bridge"
"184","434","Star Bridge"
"185","435","Star Bridge"
"186","436","Star Bridge"
"187","437","Star Bridge"
"188","438","Star Bridge"
"189","439","Star Bridge"
"190","440","Star Bridge"
"191","441","Star Bridge"
"192","442","Star Bridge"
"193","443","Star Bridge"
"194","444","Star Bridge"
"195","445","Star Bridge"
"196","446","Star Bridge"
"197","447","Star Bridge"
"198","448","Star Bridge"
"199","449","Star Bridge"
"200","450","Star Bridge"
"201","451","Star Bridge"
"202","452","Star Bridge"
"203","453","Star Bridge"
"204","454","Star Bridge"
"205","455","Star Bridge"
"206","456","Star Bridge"
"207","457","Star Bridge"
"208","458","Star Bridge"
"209","459","Star Bridge"
"210","460","Star Bridge"
"211","461","Star Bridge"
"212","462","Star Bridge"
"213","463","Star Bridge"
"214","464","Star Bridge"
"215","465","Star Bridge"
"216","466","Star Bridge"
"217","467","Star Bridge"
"218","468","Star Bridge"
"219","469","Star Bridge"
"220","470","Star Bridge"
"221","471","Star Bridge"
"222","472","Star Bridge"
"223","473","Star Bridge"
"224","474","Star Bridge"
"225","475","Star Bridge"
"226","476","Star Bridge"
"227","477","Star Bridge"
"228","478","Star Bridge"
"229","479","Star Bridge"
"230","480","Star Bridge"
"231","481","Star Bridge"
"232","482","Star Bridge"
"233","483","Star Bridge"
"234","484","Star Bridge"
"235","485","Star Bridge"
"236","486","Star Bridge"
